size,num_layers,l_dim,epoch,batch,dropout,bn,dist,best_auc,best_ep,seed
64,3,5,500,8192,0,0,cos,0.91975,23,10
64,3,8,500,8192,0,0,l2,0.90553,60,10
64,3,8,500,8192,0,0,cos,0.90739,490,10
64,3,10,500,8192,0,0,l2,0.90733,65,10
64,3,10,500,8192,0,0,cos,0.90873,63,10
64,3,27,500,8192,0,0,l2,0.91063,9,10
64,3,27,500,8192,0,0,cos,0.91748,9,10
64,3,32,500,8192,0,0,l2,0.90918,9,10
64,3,32,500,8192,0,0,cos,0.91657,10,10
256,2,1,500,8192,0,0,l2,0.91010,413,10
256,2,1,500,8192,0,0,cos,0.91170,349,10
256,2,2,500,8192,0,0,l2,0.91320,131,10
256,2,2,500,8192,0,0,cos,0.90758,114,10
256,2,5,500,8192,0,0,l2,0.92029,17,10
256,2,5,500,8192,0,0,cos,0.92268,17,10
256,2,8,500,8192,0,0,l2,0.90831,186,10
256,2,8,500,8192,0,0,cos,0.90985,185,10
256,2,10,500,8192,0,0,l2,0.90900,179,10
256,2,10,500,8192,0,0,cos,0.91046,190,10
256,2,27,500,8192,0,0,l2,0.90975,490,10
256,2,27,500,8192,0,0,cos,0.91292,4,10
256,2,32,500,8192,0,0,l2,0.91486,475,10
256,2,32,500,8192,0,0,cos,0.91859,472,10
256,2,1,500,8192,0,0,l2,0.91562,500,20
256,2,1,500,8192,0,0,cos,0.91556,163,20
256,2,2,500,8192,0,0,l2,0.91124,81,20
256,2,2,500,8192,0,0,cos,0.91014,81,20
256,2,5,500,8192,0,0,l2,0.91382,13,20
256,2,5,500,8192,0,0,cos,0.91699,13,20
256,2,8,500,8192,0,0,l2,0.90899,281,20
256,2,8,500,8192,0,0,cos,0.91081,281,20
256,2,10,500,8192,0,0,l2,0.91070,164,20
256,2,10,500,8192,0,0,cos,0.91262,165,20
256,2,27,500,8192,0,0,l2,0.91081,4,20
256,2,27,500,8192,0,0,cos,0.91806,4,20
256,2,32,500,8192,0,0,l2,0.91235,496,20
256,2,32,500,8192,0,0,cos,0.91524,471,20
256,2,1,500,8192,0,0,l2,0.91105,137,30
256,2,1,500,8192,0,0,cos,0.90964,137,30
256,2,2,500,8192,0,0,l2,0.90603,99,30
256,2,2,500,8192,0,0,cos,0.90926,99,30
256,2,5,500,8192,0,0,l2,0.91012,7,30
256,2,5,500,8192,0,0,cos,0.90917,474,30
256,2,8,500,8192,0,0,l2,0.91221,133,30
256,2,8,500,8192,0,0,cos,0.91378,129,30
256,2,10,500,8192,0,0,l2,0.91035,5,30
256,2,10,500,8192,0,0,cos,0.91172,5,30
256,2,27,500,8192,0,0,l2,0.91264,232,30
256,2,27,500,8192,0,0,cos,0.91501,417,30
256,2,32,500,8192,0,0,l2,0.91325,480,30
256,2,32,500,8192,0,0,cos,0.91563,472,30
256,2,1,500,8192,0,0,l2,0.91300,499,40
256,2,1,500,8192,0,0,cos,0.91218,499,40
256,2,2,500,8192,0,0,l2,0.90699,83,40
256,2,2,500,8192,0,0,cos,0.91095,83,40
256,2,5,500,8192,0,0,l2,0.91149,468,40
256,2,5,500,8192,0,0,cos,0.91444,468,40
256,2,8,500,8192,0,0,l2,0.91126,213,40
256,2,8,500,8192,0,0,cos,0.91066,347,40
256,2,10,500,8192,0,0,l2,0.91076,6,40
256,2,10,500,8192,0,0,cos,0.90807,6,40
256,2,27,500,8192,0,0,l2,0.91593,4,40
256,2,27,500,8192,0,0,cos,0.91993,4,40
256,2,32,500,8192,0,0,l2,0.91405,347,40
256,2,32,500,8192,0,0,cos,0.91816,4,40
256,2,1,500,8192,0,0,l2,0.91333,495,50
256,2,1,500,8192,0,0,cos,0.91325,495,50
256,2,2,500,8192,0,0,l2,0.90927,108,50
256,2,2,500,8192,0,0,cos,0.90819,96,50
256,2,5,500,8192,0,0,l2,0.91904,12,50
256,2,5,500,8192,0,0,cos,0.91452,12,50
256,2,8,500,8192,0,0,l2,0.91548,9,50
256,2,8,500,8192,0,0,cos,0.91809,8,50
256,2,10,500,8192,0,0,l2,0.91252,204,50
256,2,10,500,8192,0,0,cos,0.91416,225,50
256,2,27,500,8192,0,0,l2,0.90718,5,50
256,2,27,500,8192,0,0,cos,0.91556,5,50
256,2,32,500,8192,0,0,l2,0.91071,4,50
256,2,32,500,8192,0,0,cos,0.91548,4,50
64,3,1,500,8192,0,0,l2,0.91218,265,20
64,3,1,500,8192,0,0,cos,0.90807,244,20
